ArrayType,Size,Algorithm,TimeMs,Comparisons
Random,100,Standard_QuickSort,0.0174,6239
Random,100,Standard_MergeSort,0.0607,2938
Random,100,String_QuickSort,0.0102,2139
Random,100,String_MergeSort,0.1619,2073
Random,100,MSD_RadixSort,0.4178,3368
Random,100,MSD_RadixQuickSort,0.0108,1905
Random,200,Standard_QuickSort,0.0178,17092
Random,200,Standard_MergeSort,0.0915,9916
Random,200,String_QuickSort,0.0092,4699
Random,200,String_MergeSort,0.1952,5045
Random,200,MSD_RadixSort,0.2708,7356
Random,200,MSD_RadixQuickSort,0.0212,4283
Random,300,Standard_QuickSort,0.0325,31854
Random,300,Standard_MergeSort,0.123,19638
Random,300,String_QuickSort,0.0144,7822
Random,300,String_MergeSort,0.2914,8626
Random,300,MSD_RadixSort,0.4787,12308
Random,300,MSD_RadixQuickSort,0.0352,7253
Random,400,Standard_QuickSort,0.047,38661
Random,400,Standard_MergeSort,0.2061,24405
Random,400,String_QuickSort,0.0278,9123
Random,400,String_MergeSort,0.4307,10554
Random,400,MSD_RadixSort,0.3343,13596
Random,400,MSD_RadixQuickSort,0.063,8404
Random,500,Standard_QuickSort,0.0702,57514
Random,500,Standard_MergeSort,0.2636,35890
Random,500,String_QuickSort,0.0263,12707
Random,500,String_MergeSort,0.5244,14490
Random,500,MSD_RadixSort,0.437,19256
Random,500,MSD_RadixQuickSort,0.0566,11835
Random,600,Standard_QuickSort,0.0759,63521
Random,600,Standard_MergeSort,0.2793,38101
Random,600,String_QuickSort,0.0433,13786
Random,600,String_MergeSort,0.7253,15781
Random,600,MSD_RadixSort,0.412,19040
Random,600,MSD_RadixQuickSort,0.0731,12324
Random,700,Standard_QuickSort,0.1079,92940
Random,700,Standard_MergeSort,0.3781,59017
Random,700,String_QuickSort,0.0862,18757
Random,700,String_MergeSort,1.0102,21235
Random,700,MSD_RadixSort,0.6015,27652
Random,700,MSD_RadixQuickSort,0.1074,17534
Random,800,Standard_QuickSort,0.118,113911
Random,800,Standard_MergeSort,0.4066,71930
Random,800,String_QuickSort,0.0808,22778
Random,800,String_MergeSort,0.9603,25314
Random,800,MSD_RadixSort,0.6066,32952
Random,800,MSD_RadixQuickSort,0.0999,20670
Random,900,Standard_QuickSort,0.1762,121704
Random,900,Standard_MergeSort,0.536,78366
Random,900,String_QuickSort,0.069,23745
Random,900,String_MergeSort,1.1406,27391
Random,900,MSD_RadixSort,0.7043,34254
Random,900,MSD_RadixQuickSort,0.1285,22034
Random,1000,Standard_QuickSort,0.1664,160984
Random,1000,Standard_MergeSort,0.5257,109264
Random,1000,String_QuickSort,0.0722,31314
Random,1000,String_MergeSort,1.2474,34725
Random,1000,MSD_RadixSort,0.9153,47350
Random,1000,MSD_RadixQuickSort,0.1778,29481
Random,1100,Standard_QuickSort,0.1848,145833
Random,1100,Standard_MergeSort,0.6337,91455
Random,1100,String_QuickSort,0.0693,27932
Random,1100,String_MergeSort,1.3552,31897
Random,1100,MSD_RadixSort,0.7935,38018
Random,1100,MSD_RadixQuickSort,0.1415,25040
Random,1200,Standard_QuickSort,0.2077,177167
Random,1200,Standard_MergeSort,0.6922,112568
Random,1200,String_QuickSort,0.0885,33719
Random,1200,String_MergeSort,1.57,37519
Random,1200,MSD_RadixSort,0.9641,46414
Random,1200,MSD_RadixQuickSort,0.2142,30792
Random,1300,Standard_QuickSort,0.2399,194068
Random,1300,Standard_MergeSort,0.8111,129704
Random,1300,String_QuickSort,0.096,35550
Random,1300,String_MergeSort,1.7668,40992
Random,1300,MSD_RadixSort,1.0292,51444
Random,1300,MSD_RadixQuickSort,0.3591,38811
Random,1400,Standard_QuickSort,0.2287,193238
Random,1400,Standard_MergeSort,0.8245,129887
Random,1400,String_QuickSort,0.0972,36890
